YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2024,76358,43,13777500,320407.0,2024-05-01
2020,62435,11,1737911,157991.9,2020-12-28
2022,81262,59,2550334,43226.0,2022-12-21
2021,92558,39,984147,25234.5,2021-12-12
2022,104493,154,11336468,73613.4,2022-12-31
2019,66903,18,2139279,118848.8,2019-12-25
2019,57117,73,15210272,208359.9,2019-12-26
2023,93506,10,3319015,331901.5,2023-11-05
2021,75277,188,80415858,427743.9,2021-12-30
2021,54042,4,685940,171485.0,2021-10-12
2021,57056,9,673332,74814.7,2021-04-14
2018,55903,26,2255299,86742.3,2018-12-14
2024,61169,14,1207900,86278.6,2024-05-05
2019,56072,32,4985830,155807.2,2019-11-16
2023,114940,19,12931865,680624.5,2023-12-11
2021,77397,22,2423004,110136.5,2021-12-31
2021,72938,210,8568010,40800.0,2021-12-30
2022,63166,17,6437019,378648.2,2022-12-15
2019,65943,3,480000,160000.0,2019-09-01
2024,122444,20,8414601,420730.1,2024-05-08
2021,72982,40,12861422,321535.6,2021-12-30
2022,78737,26,8121123,312350.9,2022-12-25
2023,58060,13,3786230,291248.5,2023-11-20
2022,73947,94,3851212,40970.3,2022-12-31
2020,66190,7,1355209,193601.3,2020-12-26
2022,73646,66,36804022,557636.7,2022-12-12
2019,64399,50,11759409,235188.2,2019-12-20
2021,61444,3,1638074,546024.7,2021-09-20
2024,61604,35,7221800,206337.1,2024-05-01
2024,122642,16,5083844,317740.3,2024-03-27
2019,70254,5,844000,168800.0,2019-12-28
2021,65545,85,18474623,217348.5,2021-12-23
2021,58100,21,3528874,168041.6,2021-12-07
2021,70366,43,7228917,168114.3,2021-12-28
2022,62177,21,8778692,418033.0,2022-12-24
2023,118978,24,2648093,110337.2,2023-12-22
2023,114894,19,1931335,101649.2,2023-12-30
2023,63663,44,6784046,154182.9,2023-12-30
2023,66235,10,1563600,156360.0,2023-12-22
2023,61820,46,18818268,409092.8,2023-11-13
2019,60869,116,10274942,88577.1,2019-12-28
2020,60988,3,407700,135900.0,2020-12-13
2022,55238,57,13847195,242933.2,2022-12-28
2023,71448,11,6201189,563744.5,2023-09-27
2022,114474,1,59000,59000.0,2022-07-13
2024,114769,10,3127800,312780.0,2024-04-26
2023,116996,72,15100155,209724.4,2023-11-12
2023,63015,69,17540459,254209.6,2023-12-25
2019,57897,28,8357250,298473.2,2019-12-24
2021,73918,23,3525240,153271.3,2021-12-29
2019,66588,6,1485000,247500.0,2019-12-30
2021,65978,103,31183627,302753.7,2021-12-27
2020,82280,2,144000,72000.0,2020-10-04
2021,57301,14,2674517,191036.9,2021-10-06
2017,54922,36,4328193,120227.6,2017-12-28
2021,65770,24,7271908,302996.2,2021-12-30
2022,66988,34,8101950,238292.6,2022-12-19
2021,70152,84,18849057,224393.5,2021-12-07
2020,69503,16,1107908,69244.3,2020-12-16
2021,61770,34,8576555,252251.6,2021-12-13
2021,91929,6,1804304,300717.3,2021-11-19
2020,59219,25,3207484,128299.4,2020-12-23
2023,62134,49,17335169,353779.0,2023-12-06
2023,68033,7,1707500,243928.6,2023-05-21
2020,62908,10,1561431,156143.1,2020-10-25
2022,60534,32,8374522,261703.8,2022-12-23
2020,61225,70,18956350,270805.0,2020-11-06
2020,59028,19,3138895,165205.0,2020-12-29
2022,99663,109,16531799,151667.9,2022-12-29
2022,107434,31,1202802,38800.1,2022-12-28
2019,66594,42,14171977,337428.0,2019-12-30
2023,70461,32,1926665,60208.3,2023-09-29
2019,67169,21,2302500,109642.9,2019-12-29
2020,75277,132,55702610,421989.5,2020-12-31
2019,62974,2,743865,371932.5,2019-11-15
2022,109459,61,18974505,311057.5,2022-05-22
2024,63565,11,4122700,374790.9,2024-04-29
2019,58090,69,6956824,100823.5,2019-12-24
